source,chunk
2431974.pdf,"int rgb = img.getRGB(x, y);                 int red = (rgb >> 16) & 0xFF;                 sum += red;             }         }         return (double) sum / numPixels;     } 
         protected double computeBaselineIntensity() {         int sampleCount = 5;         double sum = 0.0;         try {             for (int i = 0; i < sampleCount; i++) {                 Thread.sleep(IMAGE"
2431974.pdf,"leCount; i++) {                 Thread.sleep(IMAGE_INTERVAL);                 BufferedImage img = swiftBot.takeGrayscaleStill(ImageSize.SQUARE_720x720);                 double intensity = computeAverageIntensity(img);                 sum += intensity;             }         } catch (InterruptedException ie) {             System.out.println(""Interrupted during baseline computation."");             lo"
2431974.pdf,"ted during baseline computation."");             logger.warning(""Interrupted during baseline computation."");         }         double newBaseline = sum / sampleCount;         System.out.println(""Computed baseline intensity: "" + newBaseline);         logger.info(""Computed baseline intensity: "" + newBaseline);         return newBaseline;     } }   package myswiftbot;  import swiftbot.*; import java.a"
2431974.pdf,"kage myswiftbot;  import swiftbot.*; import java.awt.image.BufferedImage; import java.io.File; import java.io.FileWriter; import java.io.IOException; 
import java.util.ArrayList; import java.util.Scanner; import java.util.logging.*; import javax.imageio.ImageIO;  public class SwiftBotTunnelVision extends TunnelVisionBase {      // --- Configuration constants ---     private static final double TUN"
2431974.pdf,constants ---     private static final double TUNNEL_ENTRY_THRESHOLD_RATIO = 0.5; // tunnel entry threshold     private static final double TUNNEL_EXIT_THRESHOLD_RATIO = 0.5;  // tunnel exit threshold     private static final int OBSTACLE_DISTANCE_THRESHOLD = 40;        // cm     private static final int EXPECTED_TUNNELS = 3;      // --- Instance state specific to this class ---     private boole
2431974.pdf,state specific to this class ---     private boolean startPressed = false;     private boolean obstacleDetected = false;     private String obstaclePhotoPath = null;          private ArrayList<Double> tunnelLengths = new ArrayList<>();     private ArrayList<Double> tunnelAverageIntensities = new ArrayList<>();     private ArrayList<Double> gapDistances = new ArrayList<>();     private double total
2431974.pdf,"nces = new ArrayList<>();     private double totalDistance = 0.0;     private long measurementStartTime;     private long measurementEndTime;          public SwiftBotTunnelVision() {         super(); // Call the base class constructor         try {             // Set up logging to ""swiftbot.log"" using an anonymous formatter (no date/time)             FileHandler fileHandler = new FileHandler(""swif"
2431974.pdf,"FileHandler fileHandler = new FileHandler(""swiftbot.log"", true); 
            fileHandler.setFormatter(new Formatter() {                 @Override                 public String format(LogRecord record) {                     return record.getLevel() + "": "" + record.getMessage() + ""\n"";                 }             });             logger.addHandler(fileHandler);             logger.setUseParentHa"
2431974.pdf,"er(fileHandler);             logger.setUseParentHandlers(false);         } catch (Exception e) {             logger.severe(""Logging setup failed: "" + e.getMessage());             System.out.println(""Logging setup failed: "" + e.getMessage());         }     }          public void startMeasurement() {         // Ensure underlights are off at the beginning.         swiftBot.disableUnderlights();"
2431974.pdf,"ning.         swiftBot.disableUnderlights();                  // Set up button listeners for starting and terminating the measurement.         swiftBot.disableAllButtons();         swiftBot.enableButton(Button.Y, () -> {             System.out.println(""Button Y pressed. Starting tunnel measurement..."");             logger.info(""Button Y pressed. Starting tunnel measurement..."");             startP"
2431974.pdf,"arting tunnel measurement..."");             startPressed = true;         });                  // Immediate termination on Button X press.         swiftBot.enableButton(Button.X, () -> {             System.out.println(""Button X pressed. Terminating program..."");             logger.info(""Button X pressed. Terminating program...""); 
            displayAndWriteLog();                          System.ex"
2431974.pdf,"yAndWriteLog();                          System.exit(5);         });                  System.out.println(""Place SwiftBot at the tunnel entrance and press Button Y to start."");         logger.info(""Waiting for start command via Button Y."");         while (!startPressed) {             try {                 Thread.sleep(100);             } catch (InterruptedException ie) {                 logger.warn"
2431974.pdf,"rruptedException ie) {                 logger.warning(""Sleep interrupted while waiting for start."");             }         }                  System.out.println(""Starting measurement without underlights."");         logger.info(""Starting measurement without underlights."");                  // Compute and output a baseline light intensity before entering tunnels.         baselineIntensity = computeB"
2431974.pdf,"ring tunnels.         baselineIntensity = computeBaselineIntensity();         System.out.println(""Baseline light intensity measured: "" + baselineIntensity);         logger.info(""Baseline light intensity measured: "" + baselineIntensity);                  // Record start time and begin the measurement loop.         measurementStartTime = System.currentTimeMillis();         runMeasurementLoop();"
2431974.pdf,"ntTimeMillis();         runMeasurementLoop();         measurementEndTime = System.currentTimeMillis();                  // Stop the SwiftBot.         swiftBot.stopMove(); 
        logger.info(""SwiftBot stopped."");                  // Display and write the log.         displayAndWriteLog();         System.out.println(""Tunnel measurement completed."");         logger.info(""Tunnel measurement complete"
2431974.pdf,";         logger.info(""Tunnel measurement completed."");     }          private void runMeasurementLoop() {         boolean inTunnel = false;         double segmentDistance = 0.0;         double tunnelIntensitySum = 0.0;         int tunnelImageCount = 0;         int detectedTunnels = 0;                  while (detectedTunnels < EXPECTED_TUNNELS && !obstacleDetected) {             try {"
2431974.pdf,"obstacleDetected) {             try {                 swiftBot.move(40, 40, IMAGE_INTERVAL);                 Thread.sleep(IMAGE_INTERVAL);                                  segmentDistance += IMAGE_INTERVAL * CALIBRATION_FACTOR;                 totalDistance += IMAGE_INTERVAL * CALIBRATION_FACTOR;                                  double sensorDistance = swiftBot.useUltrasound();                 if"
2431974.pdf,"ce = swiftBot.useUltrasound();                 if (sensorDistance < OBSTACLE_DISTANCE_THRESHOLD) {                     System.out.println(""Obstacle detected at "" + sensorDistance + "" cm!"");                     logger.warning(""Obstacle detected at "" + sensorDistance + "" cm!"");                     handleObstacle();                     break;                 } 
                                 Buffer"
2431974.pdf,"} 
                                 BufferedImage img = swiftBot.takeGrayscaleStill(ImageSize.SQUARE_720x720);                 double avgIntensity = computeAverageIntensity(img);                 System.out.println(""Average Intensity: "" + avgIntensity);                 logger.info(""Average Intensity: "" + avgIntensity);                                  if (!inTunnel && avgIntensity < baselin"
2431974.pdf,"if (!inTunnel && avgIntensity < baselineIntensity * TUNNEL_ENTRY_THRESHOLD_RATIO) {                     if (totalDistance > segmentDistance) {                         gapDistances.add(segmentDistance);                         System.out.println(""Gap recorded: "" + segmentDistance + "" cm"");                         logger.info(""Gap recorded: "" + segmentDistance + "" cm"");"
2431974.pdf,": "" + segmentDistance + "" cm"");                     }                     inTunnel = true;                     segmentDistance = 0.0;                     tunnelIntensitySum = 0.0;                     tunnelImageCount = 0;                     System.out.println(""Tunnel entry detected."");                     logger.info(""Tunnel entry detected."");                 }                                  if"
2431974.pdf,}                                  if (inTunnel) {                     tunnelIntensitySum += avgIntensity;                     tunnelImageCount++;                     if (avgIntensity > baselineIntensity * TUNNEL_EXIT_THRESHOLD_RATIO) {                         inTunnel = false;                         detectedTunnels++;                         tunnelLengths.add(segmentDistance);
2431974.pdf,"tunnelLengths.add(segmentDistance);                         double avgTunnelIntensity = tunnelIntensitySum / (tunnelImageCount > 0 ? tunnelImageCount : 1);                         tunnelAverageIntensities.add(avgTunnelIntensity);                         System.out.println(""Tunnel exit detected. Tunnel "" + detectedTunnels + "" length: "" + segmentDistance + "" cm""); 
                        l"
2431974.pdf,"gmentDistance + "" cm""); 
                        logger.info(""Tunnel exit detected. Tunnel "" + detectedTunnels + "" length: "" + segmentDistance + "" cm"");                                                  if (detectedTunnels < EXPECTED_TUNNELS) {                             System.out.println(""Computing new baseline intensity after tunnel exit..."");                             logger.info(""Computing"
2431974.pdf,"logger.info(""Computing new baseline intensity after tunnel exit."");                             baselineIntensity = computeBaselineIntensity();                             System.out.println(""New baseline light intensity measured: "" + baselineIntensity);                             logger.info(""New baseline light intensity measured: "" + baselineIntensity);"
2431974.pdf,"y measured: "" + baselineIntensity);                         } else {                             swiftBot.fillUnderlights(new int[]{255, 0, 0});                             System.out.println(""Final tunnel exit detected. Red underlights activated."");                             logger.info(""Final tunnel exit detected. Red underlights activated."");                             displayAndWriteLog();"
2431974.pdf,"displayAndWriteLog();                         }                         segmentDistance = 0.0;                     }                 }             } catch (InterruptedException ie) {                 System.out.println(""Measurement loop interrupted."");                 logger.warning(""Measurement loop interrupted."");                 break;             } catch (Exception e"
2431974.pdf,"break;             } catch (Exception e) {                 System.out.println(""Error during measurement: "" + e.getMessage());                 logger.severe(""Error during measurement: "" + e.getMessage());                 e.printStackTrace();                 break;             }         }     }      
    private void handleObstacle() {         obstacleDetected = true;         swiftBot.sto"
2431974.pdf,"obstacleDetected = true;         swiftBot.stopMove();         swiftBot.fillUnderlights(new int[]{255, 0, 0});         try {             BufferedImage obstacleImg = swiftBot.takeStill(ImageSize.SQUARE_720x720);             String filename = ""ObstaclePhoto.png"";             File file = new File(filename);             ImageIO.write(obstacleImg, ""png"", file);             obstaclePhotoPath = file."
2431974.pdf,"png"", file);             obstaclePhotoPath = file.getAbsolutePath();             System.out.println(""Obstacle photo saved to: "" + obstaclePhotoPath);             logger.info(""Obstacle photo saved to: "" + obstaclePhotoPath);         } catch (IOException e) {             System.out.println(""Failed to save obstacle photo: "" + e.getMessage());             logger.warning(""Failed to save obstacle photo:"
2431974.pdf,"logger.warning(""Failed to save obstacle photo: "" + e.getMessage());         }         System.out.println(""Obstacle detected. Terminating measurement."");         logger.warning(""Obstacle detected. Terminating measurement."");                  // Display the log file before exiting.         displayAndWriteLog();                  System.exit(5);     }          private void displayAndWriteLog() {"
2431974.pdf,"}          private void displayAndWriteLog() {         long durationMillis = measurementEndTime - measurementStartTime;         String durationStr = (durationMillis / 1000.0) + "" seconds"";                  StringBuilder logBuilder = new StringBuilder(); 
        logBuilder.append(""Tunnel Measurement Log\n"");         logBuilder.append(""-------------------------------\n"");         logBuilder.appen"
2431974.pdf,"--------------------\n"");         logBuilder.append(""Total tunnels detected: "" + tunnelLengths.size() + ""\n"");         for (int i = 0; i < tunnelLengths.size(); i++) {             logBuilder.append(""Tunnel "" + (i + 1) + "" length: "" + tunnelLengths.get(i) + "" cm, "");             logBuilder.append(""Average intensity: "" + tunnelAverageIntensities.get(i) + ""\n"");         }         logBuilder.append(""G"
2431974.pdf,"i) + ""\n"");         }         logBuilder.append(""Gap distances between tunnels (cm): "");         for (Double gap : gapDistances) {             logBuilder.append(gap + "" "");         }         logBuilder.append(""\n"");         logBuilder.append(""Total distance traveled: "" + totalDistance + "" cm\n"");         logBuilder.append(""Execution duration: "" + durationStr + ""\n"");         logBuilder.append(""Obs"
2431974.pdf,"urationStr + ""\n"");         logBuilder.append(""Obstacle detected: "" + (obstacleDetected ? ""Yes"" : ""No"") + ""\n"");         if (obstacleDetected) {             logBuilder.append(""Obstacle photo file: "" + obstaclePhotoPath + ""\n"");         }                  // Always display the log on screen.         System.out.println(logBuilder.toString());                  String logFilename = ""TunnelLog.txt"";"
2431974.pdf,"String logFilename = ""TunnelLog.txt"";         try (FileWriter writer = new FileWriter(logFilename)) {             writer.write(logBuilder.toString());             File logFile = new File(logFilename);             System.out.println(""Log written to file: "" + logFile.getAbsolutePath());             logger.info(""Log written to file: "" + logFile.getAbsolutePath());         } catch (IOExcepti"
2431974.pdf,"ile.getAbsolutePath());         } catch (IOException e) {             System.out.println(""Error writing log file: "" + e.getMessage()); 
            logger.warning(""Error writing log file: "" + e.getMessage());         }     }          public void runCLI() {         Scanner scanner = new Scanner(System.in);         System.out.println(""SwiftBot Tunnel Vision CLI"");         System.out.println(""Command"
2431974.pdf,"Vision CLI"");         System.out.println(""Commands: start, stop, log, exit"");         while (true) {             System.out.print(""Enter command: "");             String command = scanner.nextLine().trim().toLowerCase();             switch (command) {                 case ""start"":                     startMeasurement();                     break;                 case ""stop"":                     sw"
2431974.pdf,"case ""stop"":                     swiftBot.stopMove();                     System.out.println(""SwiftBot stopped manually."");                     logger.info(""SwiftBot stopped manually."");                     break;                 case ""log"":                     System.out.println(""Log file: swiftbot.log"");                     break;                 case ""exit"":                     s"
2431974.pdf,"case ""exit"":                     swiftBot.stopMove();                     logger.info(""Exited CLI"");                     System.out.println(""Exiting CLI."");                     System.exit(5);                 default:                     System.out.println(""Unknown command""); 
            }         }     }     public static void main(String[] args) {         new SwiftBotTunnelVisio"
2431974.pdf,n(String[] args) {         new SwiftBotTunnelVision().runCLI();     } }
EmiratesTicket2.pdf,"Ticket number: 176 2393628051
Scan the bar code or use the ticket number above at 
the self check-in points in the airport. Ticket & receipt
Passenger name
RAZA/
AMMADMR
Membership Tier
BLUEEmirates Skywards number
EK781399301Issued by / Date
AGT 86491845 AE
10SEP2025EKWWWWW DUBAI / IBE GLOBAL
Your booking reference: GRL4KB
Your ticket is stored in our booking system. This receipt is your record"
EmiratesTicket2.pdf,"our booking system. This receipt is your record 
of your ticket and is part of your conditions of carriage. For more 
information you can read the notices and conditions of carriage .
You might need to show this receipt to enter the airport or to prove 
your return or onwards travel to immigration.Check with your departure airport for restrictions on the carriage of 
liquids, aerosols and gels in"
EmiratesTicket2.pdf,"on the carriage of 
liquids, aerosols and gels in hand baggage and check your visa 
requirements.
Please check our Dangerous Goods information  to find out what you 
can and can’t bring on board. Some substances and certain items are 
restricted, like portable electronic devices, spare batteries or smart 
bags.
......................................................................................"
EmiratesTicket2.pdf,"........................................................................................................................................................................................................................................................................................................
Check in online, or 90 minutes 60 minutes 45 minutes
Check in at the airport. At most
airports you need"
EmiratesTicket2.pdf,"Check in at the airport. At most
airports you need to arrive 3 hours
before departure, but it can be
up to 4 hours  to complete all the
travel requirements. Please check
the best time to arrive for your
journey below.90 minutes before take-off go
through passport control.60 minutes before take-off be
ready at the gate (Premium
Economy, Economy Class).45 minutes before take-off be
ready at the gate"
EmiratesTicket2.pdf,"s).45 minutes before take-off be
ready at the gate (First Class,
Business Class).
Your travel information
All times shown are local for each city
Departing » From Lahore, Pakistan
Leg 1of2 | Lahore (LHE) toDubai (DXB) | Operated by Emirates (equipment owner - Emirates)
Flight
EK625
Economy
FlexCheck-in at
27Sep2025
05:30Departure
27Sep2025
09:00
LAHORE
Departing LHE, Alama Iqbal International Airp"
EmiratesTicket2.pdf,"HORE
Departing LHE, Alama Iqbal International Airport
Seat Status
ConfirmedArrival
27Sep2025
11:15
DUBAI
Arriving DXB, Dubai International Airport
Terminal 3
Coupon validity:  not before 27Sep2025  /  not after 27Sep2025  Baggage 40Kgs
Leg 2of2 | Dubai (DXB) toLondon Heathrow  (LHR) | Operated by Emirates (equipment owner - Emirates)
Flight
EK003
Economy
FlexCheck-in at
27Sep2025
11:15Departure
27"
EmiratesTicket2.pdf,"conomy
FlexCheck-in at
27Sep2025
11:15Departure
27Sep2025
14:15
DUBAI
Departing DXB, Dubai International Airport
Terminal 3
Seat Status
ConfirmedArrival
27Sep2025
18:40
LONDON
Arriving LHR, London Heathrow Airport
Terminal 3
Coupon validity:  not before 27Sep2025  /  not after 27Sep2025  Baggage 40Kgs
© Emirates. All rights reserved Emirates Experience  | Check-in Online  | Manage a Booking  | Bag"
EmiratesTicket2.pdf,"ence  | Check-in Online  | Manage a Booking  | Baggage  | Contact us Page 1 of 3
Ticket number: 176 2393628051
Scan the bar code or use the ticket number above at 
the self check-in points in the airport.
Baggage allowance
 Emirates Skywards
 Dining
 Young flyers
Enjoy discounted rates when you
purchase extra baggage online.Earn Miles on every flight and
enjoy a world of benefits.Explore the world"
EmiratesTicket2.pdf,"ht and
enjoy a world of benefits.Explore the world in every bite of
our regionally inspired meals.Kids get top flight treatment with
packs, special meals and more.
Fare information
Fare
GBP546Equivalent fare
-Taxes / Fees / Charges (TFC)
GBP100.00-OD PD19.00-F6
PD90.00-GB PD34.60-RG PD5.50-
SP PD51.71-UB PD7.70-YD
PD2.20-ZR PD260.00-YQTotal fare (Incl. TFC)
GBP212AForm of payment
CREDIT CARD
Fare"
EmiratesTicket2.pdf,"ncl. TFC)
GBP212AForm of payment
CREDIT CARD
Fare calculation
LON EK X/DXB EK LHE Q LONLHE25.60 343.80ULEESGB1/EOL4 EK X/DXB EK LON Q LHELON38.41 291.30KLEESGB1/EOL4 NUC699.11END ROE0.780956
Additional information
FQEK781399301 NON-END/FLEX
Hazardous materials and substance control policy
The carriage of certain hazardous materials like aerosols, fireworks and inflammable liquids aboard the aircra"
EmiratesTicket2.pdf,"ireworks and inflammable liquids aboard the aircraft is forbidden. Personal motorised vehicles such as
hoverboards, mini-Segways and smart or self-balancing wheels, are also forbidden on our flights as they contain large lithium batteries. For safety reasons, we can’t accept
these as part of checked-in baggage or as hand luggage. If you do not understand this restriction, further information may b"
EmiratesTicket2.pdf,"rstand this restriction, further information may be obtained from your airline.
The United Arab Emirates (UAE) has a very strict, zero-tolerance, anti-drugs policy. All airports within the UAE conduct thorough searches using highly
sensitive equipment. Possession of any amounts of illegal drugs by travellers entering or transiting the UAE will be subject to punishment.
Emirates cabin baggage allow"
EmiratesTicket2.pdf,"ubject to punishment.
Emirates cabin baggage allowances
Economy Class:
One piece of carry-on baggage is permitted with maximum dimensions: 55 x 38 x 22cm (22 x 15 x 8 inches) and maximum weight: 7kg (15lb).
Note: If you’re boarding in India, your carry-on baggage may not exceed 115cm or 45.3 inches (length + width + height). If your itinerary originates from Brazil, you’re
allowed a carry-on weigh"
EmiratesTicket2.pdf,"nates from Brazil, you’re
allowed a carry-on weighing 10kg (22lb).
Premium Economy:
One piece of carry-on baggage is permitted with maximum dimensions: 55 x 38 x 22cm (22 x 15 x 8 inches) and maximum weight: 10kg (22lb).
Note: If you're boarding in India, your carry-on baggage may not exceed 115cm or 45.3 inches (length + width + height).
First Class and Business Class:
Two pieces of carry-on bagg"
EmiratesTicket2.pdf,"ss and Business Class:
Two pieces of carry-on baggage permitted: one briefcase plus either one handbag or one garment bag. The briefcase may not exceed 45 x 35 x 20cm (18 x 14 x 8 inches);
the handbag may not exceed 55 x 38 x 22cm (22 x 15 x 8 inches); the garment bag can be no more than 20cm (8 inches) thick when folded. The weight of each piece must
not exceed 7kg (15lb). The total combined weig"
EmiratesTicket2.pdf,"ust
not exceed 7kg (15lb). The total combined weight of both pieces may not be more than 14kg (30lb).
Infants in all cabin classes are permitted one checked-in bag that may not exceed 55 x 38 x 22 cm (22 x 15 x 8 inches) in size and 23kg (50lb) where the piece concept
applies, or 10kg (22lb) where the weight concept applies. In addition, customers travelling with infants (and without a child seat)"
EmiratesTicket2.pdf,"travelling with infants (and without a child seat) are permitted to bring one carry-cot or one
fully collapsible stroller into the cabin if there is room. If there is no space for these items in the cabin, they will have to be checked. However, if checked, they will not count
against your baggage allowance.
Emirates checked baggage notification
Checked baggage allowances vary by fare type and clas"
EmiratesTicket2.pdf,"cked baggage allowances vary by fare type and class of travel. Check your baggage allowance, however please note that any individual item weighing more than 32kg
cannot be accepted, for health and safety reasons.
© Emirates. All rights reserved Emirates Experience  | Check-in Online  | Manage a Booking  | Baggage  | Contact us Page 2 of 3
Ticket number: 176 2393628051
Scan the bar code or use the"
EmiratesTicket2.pdf,"mber: 176 2393628051
Scan the bar code or use the ticket number above at 
the self check-in points in the airport.
Ticket number: 176 2393628051
Scan the bar code or use the ticket number above at 
the self check-in points in the airport.
 Inflight entertainment
Fall in love with a classic romance or immerse yourself in
the latest edge-of-the-seat blockbuster - let our ice inflight
entertainment t"
EmiratesTicket2.pdf,"blockbuster - let our ice inflight
entertainment take you to places you won't find on a map.
Choose from over 6,500 channels of movies, TV shows and
music from around the world and in multiple languages. Or
challenge other passengers to a range of gripping games.
© Emirates. All rights reserved Emirates Experience  | Check-in Online  | Manage a Booking  | Baggage  | Contact us Page 3 of 3"
EmiratesTicket2.pdf,king  | Baggage  | Contact us Page 3 of 3
